"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"P50402",4295.73,1816.29,1003.09,1747.17,3489.45,3824.92,4666.8,3128.15,2482.65,3353.64
"P50454",29242.5,16490.3,16109.6,26601.9,36899.7,20625.6,27477.2,25610.4,19970,25839.4
"P50479",40260.4,32277.7,25302.1,3224.03,58040.7,79406.8,58460.9,52322.1,75011,64560.7
"P50552",4738.72,3508.53,2386.17,1664.86,10355.6,16275.3,14846.6,16311.5,16224.5,18602.3
"P50895",109233,69783.1,32820.1,26886.6,153255,138212,100029,115015,116339,129631
"P50914",2992.22,1131.19,2673.92,3659.52,3965.19,3178.94,5276.82,4495.12,3697.98,3229.56
"P50990",19469.5,14705.4,6385.48,16576.1,25370.5,28352.5,22460.9,30138.2,37964,24869.3
"P50991",12922.4,16102.9,7240.36,15567.2,24378.4,26975.1,17934.1,28492.7,29469.7,20860.1
"P50995",49470,40335.5,27368,35772.4,62791.8,75162.3,59019.8,64837.7,71039.4,84832.3
"P51149",4449.74,3195.3,2142.36,4787.68,7792.96,8247.62,6381.31,7905.04,10318,5666.79
"P51452",9473.39,10261.9,8236.04,2527.68,6447.17,14863,12256.8,12980.5,7693.78,13631.7
"P51572",13511.6,5618.17,6040.04,14051.6,14235.1,18071.3,16546.3,13530.9,14212.3,9596.54
"P51884",1670000,1060000,1170000,696417,826625,703276,1070000,1110000,583024,711417
"P51888",2060000,1280000,1140000,539091,1460000,1130000,1290000,1570000,1110000,1060000
"P51911",1520000,1870000,759444,233139,2850000,2730000,1980000,2250000,2900000,3780000
"P51991",10531.8,9514.42,6318.4,7412.91,13293.4,14042,17106.9,11939.3,14025.7,21147
"P52209",16783.9,13987.9,8144.16,28546.5,19974.1,11738.9,18687.2,20105.6,13985.9,10158
"P52272",4819.04,2404.32,3219.58,2834.7,2817.88,3843.17,6151.57,4111.85,3574.54,6559.11
"P52565",21643.9,38881.7,28555.6,21882.1,45975.6,34801.7,30332.6,51719.9,49021,30053.2
"P52566",10455.8,5696.02,9988.36,9664.52,8633.54,11322.8,8952.5,3590.41,8154.25,10293.1
"P52943",92162.8,91746.9,74150.7,30730.2,117398,104983,122694,80322.9,102881,122545
"P53004",5462.57,3734.42,4352.13,10828.1,6085.8,7392.82,6879.08,5038.64,4541.87,6685.15
"P53396",3186.1,1123.09,1928.39,1316.42,4451.29,1409.23,3567.32,1229.28,1168.91,1383.08
"P53618",1378.93,1386.07,1243.23,1594.83,1379.5,1732.35,2336.45,2430.78,1700.52,1485
"P53621",3231.49,3355.79,1217.07,3116.81,3810.77,5187.64,4623.18,5935.84,4852.45,3444.5
"P53708",28113.8,16727.7,7720.6,8765.22,32164.7,34668.9,24428.2,34855.1,32821.6,52869.2
"P53814",69652,63135.6,28065.9,14194.2,125307,178038,136560,143707,201595,177966
"P54289",7895.07,4734.12,4417.51,3296.67,11513.2,7867.52,7320.2,7793.74,9577.57,10468
"P54652",40517.9,40467.7,19651.5,10653.5,62564.7,54902.7,36603,48496.3,51895.5,41901.3
"P54727",5360.84,12621.7,5297.53,10465.2,11453,21447.2,23477.1,19572.6,23078,22487.1
"P55001",42514.6,26448.8,32133,33561.5,34070.7,43577.7,44807.1,29076.8,44163.8,44002.5
"P55072",57346.5,58849.9,40241.3,56729.1,72948.7,78157.2,81263.5,86898.4,77164.8,89741
"P55083",172863,75497.7,183928,133680,72097.8,292149,257463,450862,136252,348672
"P55084",29808.6,31041.3,23470.3,37234.1,40111.1,53108.7,43255.4,46158.9,53888.2,39001.6
"P55268",366084,274165,189645,191471,508434,457794,360733,438935,447823,440053
"P55290",60716.4,49610.6,39704.6,35519.5,69495.6,54778.8,53498.8,37798,49480.9,83743.6
"P55786",6010.45,3539.21,6489.76,4340.38,9413.92,10175.3,6944.93,10607.6,9406.25,6133.8
"P55809",5084.01,3985.29,1992.78,1727.77,4531.69,9092.49,7155.23,9512.82,11169.9,10888.4
"P56134",5833.31,5422.6,4806.23,4306.32,7424.68,8425.79,6971.32,9759.08,10213.2,7591.76
"P56199",64275.5,53344.3,35875.7,19129.2,83775.6,57524.5,51597.1,69370.5,63036.2,61033.2
"P56537",3178.59,1966.67,2198.69,4024.21,4689.04,5574.39,4749.31,6073.3,5941.29,6177.11
"P59998",44108,44793.9,43477.6,48535.2,63354.1,65308.4,47598.6,56442.4,63977.6,55277.8
"P60033",11958.7,9734.56,8420.51,10708,14270.7,17241.9,13393.2,8402.58,15258,15480.5
"P60174",173397,112805,87560.9,136863,134891,140452,178389,225612,127975,205949
"P60660",314376,393856,275676,246083,521673,809773,557456,901153,821964,579799
"P60842",3668.68,4909.1,4773.69,6718.38,9219.93,7862.24,6192.42,10860.5,9997.1,7111.43
"P60900",3464.67,4295.47,1442.76,4763.81,4150.96,3202.18,4432.07,5729.61,4111.72,4771.89
"P60953",16817.1,7108.42,8467.81,18309.4,21416.5,20141.4,22469.5,5329.73,25137.5,16054
"P60981",151775,123611,67655.9,85221.6,241703,332946,232467,223865,206136,341315
"P61026",4343.12,3537.53,3774.94,2478.13,1555.14,2975.33,4308.45,3501.87,2857.2,5253.55
"P61088",9021.73,11685.1,8325.93,6143.67,14922.8,13540.9,9985.3,13810.2,13499.9,10774.8
"P61158",54949,53918.5,47106.3,53242.6,78546.8,102270,77725.3,78135.5,78796.9,84715.1
"P61160",43758.9,33618.9,28763.8,35570.3,57457.5,65780.4,52947.7,57284.9,58980.9,58827.1
"P61247",13516.6,7532.91,8296.09,11181.5,13866.3,17666.8,13295.1,10563.2,11196.6,8757.32
"P61353",2737.93,4914.16,3028.07,2187.37,2536.63,2384.41,4367.91,2771.5,3865.1,3570.22
"P61457",6594.13,1800.79,2516.64,4591.32,16444.8,13895.3,16926.9,19365.4,13879.2,17112.8
"P61586",6496.76,1175.69,2604.5,3511.11,3277.19,7011.84,4791.53,3569.25,3387.43,6972.05
"P61604",17972.1,23671.3,20334.9,19301.7,43855,38321.4,41224.5,41573.4,36634.1,41029.5
"P61769",8009.77,2687.53,2045.1,6539.31,6840.12,4239.04,6325.46,1426.37,3001.49,4681.68
"P61970",7345.46,6660.32,5041.97,7295.41,7881.86,14905.6,14011.6,15953.5,10053.6,14554.7
"P61978",37179.2,33874.8,22279.8,40088.2,48817.8,56043.6,70526.8,46343.7,53791.4,77287.1
"P61981",55717.6,29452,23910.3,33248.7,61062.4,68877.7,54652.7,44992.4,63447.9,69498.3
